student_id,cgpa,branch
S0001,7.74,EEE
S0002,6.67,ECE
S0003,8.1,IT
S0004,8.25,EEE
S0005,6.0,ME
S0006,6.46,ECE
S0007,7.6,ME
S0008,7.25,CHEM
S0009,7.49,IT
S0010,6.82,ECE
S0011,8.2,CSE
S0012,8.12,CE
S0013,7.55,ECE
S0014,8.4,IT
S0015,7.87,CSE
S0016,6.81,AIML
S0017,7.8,IT
S0018,6.73,ME
S0019,8.2,CSE
S0020,7.46,CHEM
S0021,7.35,CSE
S0022,6.96,CSE
S0023,8.48,CE
S0024,7.38,AIML
S0025,7.16,CSE
S0026,7.22,ECE
S0027,7.93,ME
S0028,7.79,AIML
S0029,7.83,IT
S0030,7.84,ECE
S0031,9.21,ME
S0032,7.17,ME
S0033,7.09,CE
S0034,6.85,ECE
S0035,7.99,CSE
S0036,8.4,AIML
S0037,7.41,AIML
S0038,6.83,CE
S0039,6.84,CSE
S0040,8.02,CSE
S0041,8.09,ME
S0042,7.93,CSE
S0043,6.97,CHEM
S0044,7.69,IT
S0045,7.59,ME
S0046,7.67,AIML
S0047,8.2,IT
S0048,7.68,IT
S0049,8.04,EEE
S0050,7.55,EEE
S0051,7.73,IT
S0052,8.01,EEE
S0053,6.33,AIML
S0054,7.24,ECE
S0055,7.12,CSE
S0056,6.99,IT
S0057,7.28,IT
S0058,8.7,CSE
S0059,6.81,CSE
S0060,8.27,ME
S0061,6.15,IT
S0062,7.23,AIML
S0063,7.63,CSE
S0064,7.97,CSE
S0065,8.07,ME
S0066,8.13,AIML
S0067,7.22,CSE
S0068,7.13,CSE
S0069,8.19,CSE
S0070,7.35,ECE
S0071,6.48,ECE
S0072,6.59,CSE
S0073,6.76,CSE
S0074,7.9,ECE
S0075,7.61,AIML
S0076,8.05,EEE
S0077,7.16,ECE
S0078,7.63,CSE
S0079,8.0,CSE
S0080,7.25,IT
S0081,7.87,ME
S0082,6.97,AIML
S0083,7.21,AIML
S0084,7.19,CHEM
S0085,6.54,CHEM
S0086,7.89,AIML
S0087,7.12,CSE
S0088,7.51,CSE
S0089,7.88,IT
S0090,7.86,ECE
S0091,8.03,CSE
S0092,7.42,CE
S0093,7.16,EEE
S0094,7.44,ECE
S0095,6.15,CSE
S0096,6.34,CSE
S0097,6.44,CSE
S0098,6.7,CE
S0099,7.82,EEE
S0100,6.78,ME
S0101,7.2,IT
S0102,8.54,IT
S0103,7.21,IT
S0104,8.09,ME
S0105,6.75,ME
S0106,7.34,CSE
S0107,6.74,AIML
S0108,7.23,CSE
S0109,8.17,AIML
S0110,6.12,CSE
S0111,7.85,CSE
S0112,7.69,CE
S0113,7.02,CSE
S0114,6.34,IT
S0115,7.56,ECE
S0116,7.08,CSE
S0117,7.69,ME
S0118,7.52,CE
S0119,8.78,AIML
S0120,7.31,IT
S0121,6.68,ECE
S0122,7.64,CSE
S0123,7.68,CSE
S0124,8.59,CSE
S0125,8.17,AIML
S0126,7.79,AIML
S0127,8.67,ME
S0128,6.55,ECE
S0129,6.99,ECE
S0130,6.76,ECE
S0131,7.19,ECE
S0132,6.4,ECE
S0133,8.01,CSE
S0134,7.32,CSE
S0135,6.32,AIML
S0136,6.69,ECE
S0137,7.75,AIML
S0138,8.17,CSE
S0139,9.1,ECE
S0140,9.83,CSE
S0141,7.83,CSE
S0142,6.71,CSE
S0143,6.0,CSE
S0144,7.71,AIML
S0145,6.85,IT
S0146,7.17,EEE
S0147,7.01,ECE
S0148,7.39,IT
S0149,8.35,ECE
S0150,7.63,CSE
S0151,7.37,CHEM
S0152,6.67,CE
S0153,6.16,ME
S0154,7.11,ECE
S0155,7.46,CSE
S0156,8.91,AIML
S0157,7.6,IT
S0158,8.29,CSE
S0159,7.1,IT
S0160,6.55,CE
S0161,6.73,EEE
S0162,6.92,ME
S0163,9.2,CE
S0164,6.84,CSE
S0165,8.17,AIML
S0166,6.78,ECE
S0167,8.25,EEE
S0168,7.81,CSE
S0169,7.37,CHEM
S0170,7.47,IT
S0171,6.98,CSE
S0172,7.86,ECE
S0173,7.14,CSE
S0174,6.52,CSE
S0175,6.48,EEE
S0176,7.64,IT
S0177,8.76,AIML
S0178,7.63,IT
S0179,7.41,ME
S0180,7.73,ECE
S0181,8.54,EEE
S0182,7.68,EEE
S0183,7.17,ECE
S0184,8.39,AIML
S0185,7.84,IT
S0186,8.73,CSE
S0187,7.65,EEE
S0188,6.52,CE
S0189,6.41,CSE
S0190,8.82,ECE
S0191,8.88,AIML
S0192,7.36,ME
S0193,7.19,CHEM
S0194,8.67,ECE
S0195,6.61,EEE
S0196,6.78,IT
S0197,8.01,AIML
S0198,7.18,IT
S0199,7.5,ME
S0200,7.37,IT
S0201,7.77,ECE
S0202,8.63,ME
S0203,7.57,ECE
S0204,8.02,AIML
S0205,6.0,IT
S0206,7.46,EEE
S0207,6.83,IT
S0208,6.52,IT
S0209,6.8,ECE
S0210,7.23,CSE
S0211,8.23,CSE
S0212,6.44,EEE
S0213,7.52,EEE
S0214,7.11,EEE
S0215,7.24,CSE
S0216,8.3,IT
S0217,7.93,CSE
S0218,8.57,ME
S0219,7.38,AIML
S0220,6.94,CSE
S0221,7.32,EEE
S0222,7.69,CSE
S0223,7.64,CSE
S0224,6.63,CSE
S0225,7.57,IT
S0226,7.68,EEE
S0227,9.51,AIML
S0228,9.0,CSE
S0229,6.82,ECE
S0230,7.27,ME
S0231,6.33,AIML
S0232,7.03,EEE
S0233,7.75,CSE
